energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
Low,Moderato,Low,High,Medium-High,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,SI Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,Medium-High,Low,4,Medium,SI Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Low,RE Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Low,Andante,Low,High,Low,4,Low,DO Major,>10,[0 - 19.99],Low,Jazz
Medium-High,Moderato,Low,Medium-High,Low,3,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
High,Moderato,Low,Low,High,4,Medium,MI Minor,[5 - 9.99],[0 - 19.99],Low,Rap
High,Moderato,Low,Low,Low,4,High,FA Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Rap
Medium-Low,Vivace,Low,Medium-High,Low,3,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Medium-High,4,Low,MI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Low,Low,4,Low,LA Minor,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Medium-Low,High,High,3,High,FA Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Low,Andante,Low,High,Low,3,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Presto,Medium-Low,Medium-High,Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],Medium-High,Blues
Medium-Low,Moderato,Low,Medium-High,Low,4,High,LA Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Low,Medium-High,High,3,Low,MI Minor,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Moderato,Low,Medium,High,4,High,SI Major,[5 - 9.99],[0 - 19.99],Medium,International
Medium,Vivace,Low,Medium-High,Low,4,Low,MI Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Vivace,Low,Medium-High,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,High,Low,1,Medium,SOL Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium,Andante,Medium-Low,Low,Low,4,High,RE Major,[5 - 9.99],[0 - 19.99],Medium-High,Rap
High,Presto,Low,Low,Low,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
High,Moderato,Low,Low,Medium,4,High,RE Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-High,Moderato,Medium-Low,Low,Low,4,High,LA Major,[3 - 4.99],[0 - 19.99],High,Rap
High,Vivace,Low,Low,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,LA Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Medium-Low,4,Medium,SOL Major,[5 - 9.99],[0 - 19.99],High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Blues
High,Andante,Low,Low,Low,4,Medium,FA Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,Low,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Medium,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Andante,Low,Medium-High,Medium,4,Medium,MI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Rap
Medium-High,Moderato,Low,Low,High,4,High,MI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,Medium,SI Major,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium-High,Andante,Low,Medium,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Low,Moderato,Low,High,Low,4,Low,RE Major,[1 - 2.99],[0 - 19.99],Low,Jazz
Medium-Low,Vivace,Low,Medium-High,Low,4,Medium,LA Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Low,Moderato,Low,High,High,4,Low,DO Major,>10,[0 - 19.99],Medium-Low,Jazz
Medium-High,Moderato,Medium-Low,Low,Low,4,High,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Rap
Medium-High,Moderato,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Blues
High,Moderato,Low,Low,High,4,High,SI Major,[3 - 4.99],[0 - 19.99],Low,Rap
Medium,Andante,Low,Medium-Low,Medium-High,4,Low,LA Major,>10,[0 - 19.99],Low,Electronic
High,Moderato,Low,Low,High,4,Medium,MI Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Low,Lento,Low,High,High,4,Medium,DO Major,[5 - 9.99],[20 - 39.99],Low,Pop/Rock
Medium-High,Andante,Medium,Medium-Low,Low,4,High,SI Major,<1,[0 - 19.99],Medium-High,Pop/Rock
