energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
Medium,Presto,Medium-Low,Medium-High,Low,4,Medium,2,RE,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium-High,High,3,Low,1,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium,High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,International,1,1
Medium,Vivace,Low,Medium-High,Low,4,Low,1,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Vivace,Low,Medium-High,Low,4,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium,Andante,Low,High,Low,1,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium,Andante,Medium-Low,Low,Low,4,High,3,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
High,Presto,Low,Low,Low,4,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Rap,0,0
High,Moderato,Low,Low,Medium,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Pop/Rock,0,0
Medium-High,Moderato,Medium-Low,Low,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
High,Vivace,Low,Low,Low,4,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-Low,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
High,Andante,Low,Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
